title,date_released,original_price,discount_price,review
Battlefield Bundle,,567,47.29,"Mostly Positive<br>78% of the 129,057 user reviews for games in this bundle are positive."
Fallout 4: Game of the Year Edition,10-Nov-15,167.48,41.87,"Mostly Positive<br>78% of the 170,391 user reviews for games in this bundle are positive."
Battlefield V,22-Oct-20,249,24.9,"Mixed<br>69% of the 59,724 user reviews for this game are positive."
Disco Elysium - The Final Cut,15-Oct-19,65,35.75,"Very Positive<br>94% of the 38,483 user reviews for this game are positive."
Gladiator Guild Manager,13-Oct-21,25,22.5,Very Positive<br>89% of the 77 user reviews for this game are positive.
Football Manager 2022,9-Nov-21,159,143.1, 
House Flipper,17-May-18,39,19.5,"Very Positive<br>92% of the 43,399 user reviews for this game are positive."
Growing Up,13-Oct-21,32,28.8,Positive<br>83% of the 12 user reviews for this game are positive.
Assassin's Creed® Odyssey,5-Oct-18,189,47.25,"Very Positive<br>89% of the 95,538 user reviews for this game are positive."
Age of Darkness: Final Stand,7-Oct-21,54,48.6,Very Positive<br>90% of the 913 user reviews for this game are positive.
Fallout 76,14-Apr-20,158,39.5,"Mostly Positive<br>76% of the 28,165 user reviews for this game are positive."
Assassin's Creed® Odyssey,5-Oct-18,189,47.25,"Very Positive<br>89% of the 95,538 user reviews for this game are positive."
Spellcaster University,15-Jun-21,44,33,"Very Positive<br>84% of the 1,811 user reviews for this game are positive."
Junkyard Simulator,13-Oct-21,34,30.6,Mixed<br>51% of the 141 user reviews for this game are positive.
Battlefield 1 ™,11-Jun-20,159,19.08,"Very Positive<br>84% of the 44,189 user reviews for this game are positive."
Phoenix Wright: Ace Attorney Trilogy,9-Apr-19,69,45.54,"Overwhelmingly Positive<br>97% of the 10,062 user reviews for this game are positive."
Battlefield 4™,11-Jun-20,159,19.08,"Very Positive<br>86% of the 25,144 user reviews for this game are positive."
Fallout 4,9-Nov-15,83.73,20.93,"Very Positive<br>80% of the 158,662 user reviews for this game are positive."
DUNGEON ENCOUNTERS,14-Oct-21,129,103.2, 
Assassin's Creed® Unity,12-Nov-14,95,14.25,"Mostly Positive<br>72% of the 34,955 user reviews for this game are positive."
Assassin's Creed® Origins,26-Oct-17,189,37.8,"Very Positive<br>85% of the 64,420 user reviews for this game are positive."
The Outer Worlds,23-Oct-20,179,59.07,"Very Positive<br>85% of the 13,109 user reviews for this game are positive."
Return of the Obra Dinn,18-Oct-18,39,25.35,"Overwhelmingly Positive<br>96% of the 13,069 user reviews for this game are positive."
Assassin's Creed Bundle,,410,97.36,"Very Positive<br>81% of the 106,569 user reviews for games in this bundle are positive."
EXOR Studios Complete Pack,,225,100.21,"Very Positive<br>87% of the 4,529 user reviews for games in this bundle are positive."
Fallout New Vegas Ultimate,9-Feb-12,38,19,"Overwhelmingly Positive<br>95% of the 117,390 user reviews for games in this bundle are positive."
Frostpunk: Game of the Year Edition,,127.5,42.84,"Very Positive<br>90% of the 61,132 user reviews for games in this bundle are positive."
Mechanic on Junkyard,,78,63.18,"Very Positive<br>94% of the 7,257 user reviews for games in this bundle are positive."
Madden NFL 22,19-Aug-21,199,129.35,"Mixed<br>42% of the 1,061 user reviews for this game are positive."
Fallout 3: Game of the Year Edition,17-Dec-09,38,15.2,"Mostly Positive<br>77% of the 25,448 user reviews for this game are positive."
The Sims™ 4,18-Jun-20,159,39.75,"Very Positive<br>90% of the 28,470 user reviews for this game are positive."
The Flipper Bundle,,94.5,67.5,"Very Positive<br>91% of the 44,359 user reviews for games in this bundle are positive."
Fallout 76,14-Apr-20,158,39.5,"Mostly Positive<br>76% of the 28,165 user reviews for this game are positive."
Sniper Ghost Warrior Contracts 2,4-Jun-21,69,51.75,"Very Positive<br>83% of the 2,993 user reviews for this game are positive."
Disgaea Dood Bundle,,260,61.49,"Very Positive<br>88% of the 6,914 user reviews for games in this bundle are positive."
The Sims™ 4 Deluxe + Seasons Bundle,,338,78.7,"Very Positive<br>90% of the 28,574 user reviews for games in this bundle are positive."
Ys IX: Monstrum Nox,6-Jul-21,102.99,82.39,Overwhelmingly Positive<br>96% of the 687 user reviews for this game are positive.
Rebel Inc: Escalation,13-Oct-21,32,28.8,"Very Positive<br>82% of the 2,911 user reviews for this game are positive."
Car Mechanic Simulator 2021,11-Aug-21,44,39.6,"Very Positive<br>94% of the 7,116 user reviews for this game are positive."
This War of Mine: Complete Edition,,66.5,11,"Very Positive<br>94% of the 62,678 user reviews for games in this bundle are positive."
XCOM® 2 Collection,,385,52.1,"Very Positive<br>84% of the 53,687 user reviews for games in this bundle are positive."
Frostpunk,24-Apr-18,51,15.3,"Very Positive<br>91% of the 58,610 user reviews for this game are positive."
The Legend of Heroes: Trails of Cold Steel IV,9-Apr-21,105,73.5,"Very Positive<br>94% of the 1,104 user reviews for this game are positive."
Assassin's Creed® Syndicate,18-Nov-15,125,31.25,"Mostly Positive<br>78% of the 18,106 user reviews for this game are positive."
Ys VIII: Lacrimosa of DANA,16-Apr-18,105,42,"Very Positive<br>85% of the 2,911 user reviews for this game are positive."
Assassin's Creed 2,4-Mar-10,31,9.3,"Very Positive<br>88% of the 29,993 user reviews for this game are positive."
Car Mechanic Simulator 2021 - Starter Bundle,,69,57.75,"Very Positive<br>94% of the 7,225 user reviews for games in this bundle are positive."
Sphere - Flying Cities,14-Oct-21,36,30.6, 
The Outer Worlds: Non-Mandatory Corporate-Sponsored Bundle,,283,137.71,"Very Positive<br>85% of the 13,160 user reviews for games in this bundle are positive."
The Escapists 2,21-Aug-17,49,12.25,"Very Positive<br>90% of the 16,146 user reviews for this game are positive."
The Survivalists,9-Oct-20,59,20.06,"Mostly Positive<br>72% of the 2,425 user reviews for this game are positive."
The Sims™ 4 Bundle - Cats & Dogs + Seasons + City Living + Get to Work,,556,208.48,Very Positive<br>83% of the 314 user reviews for games in this bundle are positive.
The Sims™ 4 Deluxe + Cats & Dogs Bundle,,338,78.7,"Very Positive<br>90% of the 28,593 user reviews for games in this bundle are positive."
The Sims™ 4 Get Famous,18-Jun-20,139,69.5,Positive<br>80% of the 25 user reviews for this game are positive.
The Game Creators - Mega Makers Pack,,788,35.19,"Mostly Positive<br>74% of the 1,375 user reviews for games in this bundle are positive."
The Legend of Heroes: Trails of Cold Steel III,23-Mar-20,105,52.5,"Very Positive<br>94% of the 1,809 user reviews for this game are positive."
Surviving Mars: First Colony Edition,,173.5,54.01,"Very Positive<br>84% of the 12,329 user reviews for games in this bundle are positive."
Phoenix Wright: Ace Attorney Trilogy - Turnabout Tunes Bundle,,110,69.72,"Overwhelmingly Positive<br>97% of the 10,101 user reviews for games in this bundle are positive."
The Outer Worlds Expansion Pass,23-Oct-20,75,60,Positive<br>94% of the 39 user reviews for this game are positive.
Thief Simulator,9-Nov-18,39,11.7,"Very Positive<br>86% of the 13,005 user reviews for this game are positive."
Lumione,12-Oct-21,28,25.2,Very Positive<br>87% of the 89 user reviews for this game are positive.
Fallout 4 VR,11-Dec-17,236.99,71.09,"Mixed<br>67% of the 3,709 user reviews for this game are positive."
XCOM: Ultimate Collection,,595,102.39,"Very Positive<br>84% of the 106,280 user reviews for games in this bundle are positive."
King's Bounty II,24-Aug-21,139,104.25,"Mixed<br>61% of the 2,858 user reviews for this game are positive."
Ys VIII: Lacrimosa of Dana Digital Limited Edition,,173,64.07,"Very Positive<br>85% of the 2,962 user reviews for games in this bundle are positive."
The Sims™ 4 City Living,18-Jun-20,139,69.5,Positive<br>95% of the 47 user reviews for this game are positive.
Plague Inc. and Rebel Inc.,,63,56.81,"Very Positive<br>93% of the 39,159 user reviews for games in this bundle are positive."
Children of Morta: Complete Edition,,62,32.04,"Very Positive<br>91% of the 8,400 user reviews for games in this bundle are positive."
Stolen Scrap,,73,38.07,"Very Positive<br>85% of the 13,146 user reviews for games in this bundle are positive."
Killing Floor 2,18-Nov-16,56,14,"Very Positive<br>88% of the 67,720 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Disco Elysium - The Final Cut Bundle,,104,51.47,"Very Positive<br>94% of the 38,558 user reviews for games in this bundle are positive."
Assassin’s Creed® Brotherhood,17-Mar-11,52,17.16,"Very Positive<br>89% of the 12,315 user reviews for this game are positive."
The Escapists 2 - Game of the Year Edition,,89.5,22.19,"Very Positive<br>90% of the 16,299 user reviews for games in this bundle are positive."
Gladiator Hobo Bundle,,54,33.3,Mostly Positive<br>74% of the 530 user reviews for games in this bundle are positive.
Langrisser I & II,10-Mar-20,80,40,Mostly Positive<br>74% of the 441 user reviews for this game are positive.
Blade of Darkness,7-Oct-21,32,25.6,Very Positive<br>96% of the 475 user reviews for this game are positive.
Becastled,8-Feb-21,32,25.6,"Very Positive<br>83% of the 2,646 user reviews for this game are positive."
The Last Campfire,7-Oct-21,32,28.8,Very Positive<br>98% of the 255 user reviews for this game are positive.
The Sims™ 4 Cats & Dogs,18-Jun-20,139,69.5,Mostly Positive<br>79% of the 123 user reviews for this game are positive.
Old Coin Pusher Friends,7-Oct-21,10.5,9.45,Very Positive<br>89% of the 85 user reviews for this game are positive.
Assassin's Creed Revelations - Gold Edition,29-Mar-12,65,21.45,"Very Positive<br>84% of the 10,271 user reviews for games in this bundle are positive."
Fallout: New Vegas,21-Oct-10,23,6.9,"Overwhelmingly Positive<br>96% of the 110,571 user reviews for this game are positive."
Midnight Protocol,13-Oct-21,32,28.8, 
Disgaea 5 Complete,22-Oct-18,65,19.5,"Very Positive<br>88% of the 2,171 user reviews for this game are positive."
Sniper Ghost Warrior Contracts 2 Deluxe Arsenal Edition,,108,81.67,"Very Positive<br>83% of the 3,016 user reviews for games in this bundle are positive."
Crysis® 3,4-Jun-20,119,29.75,"Very Positive<br>86% of the 3,257 user reviews for this game are positive."
Fallout Classic Collection,,38,11.4,"Very Positive<br>93% of the 17,199 user reviews for games in this bundle are positive."
This War of Mine,14-Nov-14,38,7.6,"Very Positive<br>94% of the 61,135 user reviews for this game are positive."
BATTLETECH Mercenary Collection,,212,70.89,"Very Positive<br>81% of the 16,688 user reviews for games in this bundle are positive."
Max Gentlemen Sexy Business!,25-Feb-20,39,19.5,Very Positive<br>92% of the 873 user reviews for this game are positive.
Assassin's Creed™: Director's Cut Edition,9-Apr-08,31,9.3,"Very Positive<br>83% of the 10,865 user reviews for this game are positive."
Sphere - Flying Cities | Save the World,,59.5,50.57, 
NIS Spooky Bundle,,189,35.91,"Very Positive<br>82% of the 2,364 user reviews for games in this bundle are positive."
A Little Golf Journey,14-Oct-21,39,35.1, 
killer7,15-Nov-18,39,11.7,"Overwhelmingly Positive<br>96% of the 1,321 user reviews for this game are positive."
Ys IX: Monstrum Nox Digital Deluxe Edition,,158.49,111.57,Overwhelmingly Positive<br>96% of the 691 user reviews for games in this bundle are positive.
The Sims™ 4 Bundle - Seasons + Magic + Vampires,,297,141,Very Positive<br>82% of the 207 user reviews for games in this bundle are positive.
The Sims™ 4 Seasons,18-Jun-20,139,69.5,Very Positive<br>89% of the 104 user reviews for this game are positive.
Blast Brigade vs. the Evil Legion of Dr. Cread,14-Oct-21,39,35.1, 
Industries of Titan,21-Jun-21,56,44.8,Mostly Positive<br>72% of the 794 user reviews for this game are positive.
Ys IX: Monstrum Nox Digital Ultimate Edition,,209.98,137.75,Overwhelmingly Positive<br>96% of the 691 user reviews for games in this bundle are positive.
Children of Morta,3-Sep-19,44,17.6,"Very Positive<br>91% of the 8,262 user reviews for this game are positive."
Assassin's Creed® Revelations,30-Nov-11,45,14.85,"Very Positive<br>85% of the 9,973 user reviews for this game are positive."
9-nine-,,156,98.28,"Overwhelmingly Positive<br>96% of the 1,849 user reviews for games in this bundle are positive."
R-Type Final 2 Digital Deluxe Edition,,149.5,107.64,Mostly Positive<br>76% of the 380 user reviews for games in this bundle are positive.
Baldur's Gate: Enhanced Edition,16-Jan-13,38,7.6,"Very Positive<br>91% of the 9,263 user reviews for this game are positive."
Gladiators Tavern Bundle,,57,49.05,"Very Positive<br>92% of the 1,559 user reviews for games in this bundle are positive."
Cooking Simulator VR,29-Jul-21,44,35.2,Very Positive<br>88% of the 385 user reviews for this game are positive.
The Legend of Heroes: Trails of Cold Steel III Digital Limited Edition,,236,87.23,"Very Positive<br>94% of the 1,818 user reviews for games in this bundle are positive."
Fling to the Finish,23-Aug-21,35,23.1,Very Positive<br>80% of the 147 user reviews for this game are positive.
The Sims™ 4 Vampires,18-Jun-20,79,59.25,Very Positive<br>81% of the 59 user reviews for this game are positive.
The Sims™ 4 Bundle - City Living + Parenthood + Tiny Living,,257,118.5,Very Positive<br>89% of the 103 user reviews for games in this bundle are positive.
DRIFT21,10-Jun-21,68,40.8,"Mostly Positive<br>74% of the 1,190 user reviews for this game are positive."
Overcrowd: A Commute 'Em Up,6-Oct-20,39,19.5,"Very Positive<br>84% of the 1,216 user reviews for this game are positive."
Vivid Knight,26-May-21,32,28.8,"Very Positive<br>92% of the 1,022 user reviews for this game are positive."
Your Cozy Place Bundle,,78,49.72,"Very Positive<br>91% of the 46,646 user reviews for games in this bundle are positive."
The Caligula Effect: Overdose,12-Mar-19,80,28,Mostly Positive<br>71% of the 263 user reviews for this game are positive.
Drug Dealer Simulator,16-Apr-20,39,23.4,"Very Positive<br>87% of the 9,081 user reviews for this game are positive."
Crysis Remastered,17-Sep-21,51,38.25,Mixed<br>52% of the 665 user reviews for this game are positive.
BATTLETECH,24-Apr-18,65,16.25,"Very Positive<br>82% of the 16,179 user reviews for this game are positive."
The Legend of Heroes: Trails of Cold Steel IV Digital Ultimate Edition,,436.25,213.73,"Very Positive<br>94% of the 1,127 user reviews for games in this bundle are positive."
"Movavi Video Suite 18 - Video Making Software - Edit, Convert, Capture Screen, and more",2-Dec-18,199.9,19.99,Very Positive<br>81% of the 590 user reviews for this software are positive.
The Sims™ 4 Bundle - Cats & Dogs +  Parenthood + My First Pet,,257,118.5,Mostly Positive<br>76% of the 151 user reviews for games in this bundle are positive.
XCOM® 2,4-Feb-16,190,47.5,"Very Positive<br>84% of the 49,998 user reviews for this game are positive."
Fallout 4 Season Pass,,209.19,36.82,"Mixed<br>57% of the 11,729 user reviews for games in this bundle are positive."
Roboquest,20-Aug-20,39,29.25,"Very Positive<br>94% of the 2,162 user reviews for this game are positive."
Victoria II Complete Edition,,139,31.75,"Very Positive<br>91% of the 11,078 user reviews for games in this bundle are positive."
X-Morph: Defense Complete Pack,,87.5,24.75,"Very Positive<br>91% of the 1,957 user reviews for games in this bundle are positive."
Military Scrap,,73,62.64,"Very Positive<br>87% of the 5,299 user reviews for games in this bundle are positive."
UBOAT,30-Apr-19,51,21.93,"Mostly Positive<br>79% of the 10,786 user reviews for this game are positive."
Moonlighter,29-May-18,39,11.7,"Very Positive<br>83% of the 8,720 user reviews for this game are positive."
Moonlighter: Complete Edition,,56.5,18.4,"Very Positive<br>82% of the 8,833 user reviews for games in this bundle are positive."
Disgaea PC,24-Feb-16,38,5.7,"Very Positive<br>88% of the 3,250 user reviews for this game are positive."
